Gender,Caste,coaching,Class_ten_education,twelve_education,medium,Class_X_Percentage,Class_XII_Percentage,Father_occupation,Mother_occupation,time
female,SC,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BANK_OFFICIAL,SCHOOL_TEACHER,TWO
male,ST,NO,SEBA,AHSEC,ENGLISH,Average,Average,OTHERS,HOUSE_WIFE,TWO
female,General,WA,SEBA,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,THREE
female,General,NO,SEBA,AHSEC,ENGLISH,Vg,Excellent,DOCTOR,SCHOOL_TEACHER,ONE
female,SC,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE
female,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE
female,General,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,ENGINEER,ONE
male,OBC,WA,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,OTHERS,TWO
male,OBC,NO,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,FOUR
female,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO
female,OBC,OA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE
female,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,ONE
male,OBC,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,OTHERS,ONE
female,General,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,COLLEGE_TEACHER,ONE
male,OBC,WA,SEBA,AHSEC,ENGLISH,Vg,Vg,OTHERS,HOUSE_WIFE,THREE
female,General,NO,SEBA,AHSEC,OTHERS,Excellent,Excellent,DOCTOR,DOCTOR,ONE
male,OBC,WA,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO
female,OBC,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE,THREE
female,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Vg,BUSINESS,HOUSE_WIFE,TWO
male,General,WA,SEBA,AHSEC,ASSAMESE,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO
male,General,WA,SEBA,AHSEC,ENGLISH,Good,Good,BUSINESS,HOUSE_WIFE,TWO
female,SC,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,OTHERS,TWO
female,SC,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,BANK_OFFICIAL,HOUSE_WIFE,ONE
male,General,WA,SEBA,AHSEC,OTHERS,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO
female,General,WA,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,TWO
female,OBC,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO
male,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE
female,OBC,WA,SEBA,AHSEC,ENGLISH,Vg,Excellent,OTHERS,HOUSE_WIFE,TWO
male,General,NO,CBSE,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,ONE
female,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO
male,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Vg,ENGINEER,HOUSE_WIFE,TWO
male,OBC,OA,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,ENGINEER,ONE
female,General,WA,SEBA,AHSEC,ENGLISH,Vg,Vg,BUSINESS,HOUSE_WIFE,TWO
female,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,TWO
female,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR,ONE
female,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE
male,OBC,OA,CBSE,CBSE,ENGLISH,Excellent,Good,OTHERS,HOUSE_WIFE,TWO
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE
male,General,WA,SEBA,AHSEC,OTHERS,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE,THREE
female,General,WA,OTHERS,AHSEC,ENGLISH,Excellent,Vg,COLLEGE_TEACHER,HOUSE_WIFE,TWO
male,General,WA,SEBA,AHSEC,OTHERS,Vg,Vg,CULTIVATOR,HOUSE_WIFE,THREE
female,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER,THREE
female,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,ENGINEER,TWO
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Vg,BANK_OFFICIAL,HOUSE_WIFE,TWO
male,General,OA,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,THREE
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,BANK_OFFICIAL,HOUSE_WIFE,TWO
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Vg,BUSINESS,HOUSE_WIFE,TWO
male,General,WA,CBSE,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,TWO
female,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,SCHOOL_TEACHER,TWO
female,OBC,NO,CBSE,CBSE,ENGLISH,Vg,Good,BUSINESS,SCHOOL_TEACHER,ONE
female,General,WA,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,SCHOOL_TEACHER,TWO
male,General,WA,SEBA,AHSEC,OTHERS,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO
male,SC,WA,SEBA,AHSEC,ENGLISH,Vg,Excellent,OTHERS,HOUSE_WIFE,ONE
male,SC,WA,OTHERS,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,ONE
male,General,WA,SEBA,AHSEC,ENGLISH,Vg,Excellent,ENGINEER,HOUSE_WIFE,THREE
female,OBC,NO,CBSE,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE
male,General,WA,SEBA,AHSEC,ENGLISH,Vg,Excellent,OTHERS,HOUSE_WIFE,ONE
female,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO
female,General,WA,SEBA,AHSEC,ASSAMESE,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE,THREE
male,SC,OA,SEBA,CBSE,OTHERS,Vg,Good,OTHERS,HOUSE_WIFE,TWO
male,General,NO,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,ONE
male,General,WA,SEBA,AHSEC,ASSAMESE,Vg,Vg,SCHOOL_TEACHER,SCHOOL_TEACHER,THREE
female,General,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE
male,General,NO,SEBA,AHSEC,OTHERS,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO
male,SC,OA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,TWO
female,OBC,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE
female,General,WA,OTHERS,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,DOCTOR,ONE
male,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE
male,General,WA,SEBA,AHSEC,OTHERS,Average,Good,SCHOOL_TEACHER,HOUSE_WIFE,TWO
male,OBC,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,TWO
female,General,WA,SEBA,CBSE,ENGLISH,Excellent,Vg,BANK_OFFICIAL,HOUSE_WIFE,TWO
male,General,WA,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,TWO
female,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,TWO
female,General,WA,CBSE,CBSE,ENGLISH,Excellent,Vg,BUSINESS,HOUSE_WIFE,THREE
male,OBC,OA,SEBA,OTHERS,ENGLISH,Vg,Average,COLLEGE_TEACHER,HOUSE_WIFE,FOUR
female,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO
male,General,OA,SEBA,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO
female,General,WA,SEBA,CBSE,ENGLISH,Excellent,Excellent,BANK_OFFICIAL,HOUSE_WIFE,TWO
female,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,TWO
female,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,TWO
male,General,WA,SEBA,AHSEC,ENGLISH,Good,Vg,BUSINESS,HOUSE_WIFE,THREE
male,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE,TWO
male,General,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,COLLEGE_TEACHER,TWO
male,General,NO,CBSE,CBSE,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE,TWO
male,General,NO,SEBA,AHSEC,ENGLISH,Vg,Vg,OTHERS,HOUSE_WIFE,ONE
female,General,WA,SEBA,CBSE,ENGLISH,Good,Vg,BUSINESS,HOUSE_WIFE,TWO
male,General,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE
male,SC,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,THREE
male,General,OA,CBSE,CBSE,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,ONE
female,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BANK_OFFICIAL,OTHERS,ONE
female,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,COLLEGE_TEACHER,SCHOOL_TEACHER,TWO
female,General,WA,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,TWO
male,General,WA,SEBA,AHSEC,OTHERS,Vg,Vg,SCHOOL_TEACHER,SCHOOL_TEACHER,THREE
female,OBC,WA,SEBA,AHSEC,ENGLISH,Vg,Vg,OTHERS,HOUSE_WIFE,ONE
female,General,OA,CBSE,CBSE,ENGLISH,Excellent,Vg,ENGINEER,HOUSE_WIFE,TWO
male,OBC,NO,SEBA,AHSEC,ENGLISH,Good,Good,OTHERS,OTHERS,TWO
female,General,WA,SEBA,CBSE,ENGLISH,Excellent,Good,OTHERS,HOUSE_WIFE,TWO
male,General,WA,SEBA,CBSE,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO
female,OBC,OA,CBSE,CBSE,ENGLISH,Vg,Vg,BUSINESS,HOUSE_WIFE,THREE
female,General,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,DOCTOR,ONE
female,General,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,ENGINEER,HOUSE_WIFE,ONE
male,General,NO,CBSE,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,ONE
male,General,WA,SEBA,AHSEC,ASSAMESE,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO
male,OBC,OA,CBSE,CBSE,ENGLISH,Vg,Vg,DOCTOR,HOUSE_WIFE,TWO
male,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,THREE
male,OBC,NO,SEBA,AHSEC,OTHERS,Good,Average,SCHOOL_TEACHER,HOUSE_WIFE,FIVE
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO
male,OBC,OA,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,OTHERS,TWO
male,OBC,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE
female,OBC,WA,CBSE,CBSE,ENGLISH,Excellent,Good,OTHERS,HOUSE_WIFE,SEVEN
male,SC,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE,TWO
female,SC,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO
female,OBC,WA,SEBA,AHSEC,ENGLISH,Vg,Excellent,DOCTOR,HOUSE_WIFE,ONE
female,OBC,WA,SEBA,AHSEC,OTHERS,Excellent,Excellent,BUSINESS,HOUSE_WIFE,ONE
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,OTHERS,TWO
female,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,THREE
male,OBC,WA,SEBA,AHSEC,ASSAMESE,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE,TWO
female,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE,TWO
female,General,OA,CBSE,CBSE,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,ONE
female,General,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,ONE
female,OBC,NO,SEBA,AHSEC,ENGLISH,Excellent,Vg,BUSINESS,HOUSE_WIFE,TWO
female,General,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE,ONE
male,General,WA,SEBA,AHSEC,OTHERS,Vg,Good,SCHOOL_TEACHER,HOUSE_WIFE,THREE
female,OBC,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,OTHERS,TWO
male,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,ONE
female,OBC,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,ONE
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,TWO
male,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE,ONE
male,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,ONE
female,OBC,WA,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO
female,OBC,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,ONE
female,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,TWO
female,OBC,WA,SEBA,AHSEC,OTHERS,Good,Good,BUSINESS,HOUSE_WIFE,THREE
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO
female,OBC,WA,SEBA,AHSEC,ENGLISH,Vg,Good,BUSINESS,HOUSE_WIFE,FOUR
female,OBC,OA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,TWO
female,OBC,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,OTHERS,TWO
male,General,WA,SEBA,AHSEC,OTHERS,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,TWO
male,General,WA,SEBA,AHSEC,OTHERS,Excellent,Vg,OTHERS,OTHERS,TWO
female,General,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,ONE
female,OBC,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE
male,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,ONE
male,OBC,OA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE,TWO
male,OBC,NO,SEBA,AHSEC,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,THREE
female,General,WA,SEBA,AHSEC,ASSAMESE,Excellent,Vg,DOCTOR,OTHERS,THREE
female,General,WA,SEBA,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,ONE
male,General,NO,SEBA,AHSEC,OTHERS,Excellent,Excellent,CULTIVATOR,HOUSE_WIFE,ONE
female,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,OTHERS,TWO
male,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE
female,General,NO,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO
male,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE
female,SC,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,THREE
female,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,TWO
female,General,WA,CBSE,CBSE,ENGLISH,Excellent,Good,BUSINESS,HOUSE_WIFE,ONE
male,General,WA,SEBA,AHSEC,ENGLISH,Vg,Vg,SCHOOL_TEACHER,SCHOOL_TEACHER,TWO
male,General,NO,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,ONE
male,OBC,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO
male,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO
male,General,NO,SEBA,AHSEC,OTHERS,Good,Good,SCHOOL_TEACHER,HOUSE_WIFE,TWO
female,OBC,WA,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,ONE
male,SC,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,ONE
male,General,WA,SEBA,AHSEC,ENGLISH,Vg,Vg,BUSINESS,HOUSE_WIFE,TWO
male,OBC,WA,CBSE,CBSE,ENGLISH,Vg,Good,BUSINESS,HOUSE_WIFE,TWO
male,General,NO,SEBA,AHSEC,ENGLISH,Vg,Vg,OTHERS,HOUSE_WIFE,TWO
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,TWO
male,General,WA,SEBA,AHSEC,OTHERS,Vg,Vg,SCHOOL_TEACHER,HOUSE_WIFE,TWO
female,ST,WA,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,ONE
female,General,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,ONE
female,OBC,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,ONE
male,SC,NO,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,THREE
male,OBC,WA,SEBA,AHSEC,ASSAMESE,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO
female,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO
male,General,OA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,TWO
male,General,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Vg,BUSINESS,HOUSE_WIFE,TWO
male,SC,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,CULTIVATOR,HOUSE_WIFE,TWO
male,General,OA,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,SCHOOL_TEACHER,ONE
male,General,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE,ONE
male,General,NO,SEBA,AHSEC,OTHERS,Vg,Vg,BUSINESS,HOUSE_WIFE,TWO
male,General,WA,SEBA,AHSEC,OTHERS,Vg,Good,SCHOOL_TEACHER,HOUSE_WIFE,FOUR
female,SC,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO
male,OBC,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO
female,General,WA,SEBA,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,ONE
female,General,WA,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,OTHERS,TWO
female,General,WA,SEBA,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO
female,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,TWO
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,OTHERS,TWO
female,General,NO,SEBA,CBSE,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,ONE
female,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Vg,OTHERS,HOUSE_WIFE,TWO
male,General,NO,CBSE,CBSE,ENGLISH,Excellent,Vg,BUSINESS,HOUSE_WIFE,ONE
male,General,NO,SEBA,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,ONE
female,SC,WA,OTHERS,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE,ONE
female,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,DOCTOR,HOUSE_WIFE,ONE
female,General,NO,SEBA,CBSE,ENGLISH,Excellent,Vg,BUSINESS,HOUSE_WIFE,TWO
female,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Vg,DOCTOR,SCHOOL_TEACHER,TWO
male,General,WA,CBSE,CBSE,ENGLISH,Vg,Good,OTHERS,HOUSE_WIFE,THREE
female,General,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,SCHOOL_TEACHER,ONE
male,General,WA,SEBA,AHSEC,OTHERS,Vg,Vg,CULTIVATOR,HOUSE_WIFE,THREE
male,OBC,WA,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,TWO
female,General,WA,OTHERS,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,ONE
male,General,WA,SEBA,AHSEC,OTHERS,Vg,Vg,SCHOOL_TEACHER,HOUSE_WIFE,THREE
female,General,NO,CBSE,CBSE,ENGLISH,Excellent,Good,BUSINESS,OTHERS,THREE
female,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,SCHOOL_TEACHER,TWO
male,General,OA,CBSE,CBSE,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE,TWO
female,ST,NO,SEBA,AHSEC,OTHERS,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE
female,OBC,OA,OTHERS,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,ONE
female,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,TWO
male,General,WA,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,DOCTOR,SCHOOL_TEACHER,TWO
female,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO
female,SC,NO,SEBA,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,ONE
female,General,WA,SEBA,AHSEC,OTHERS,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE
male,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Vg,SCHOOL_TEACHER,SCHOOL_TEACHER,THREE
male,OBC,NO,SEBA,AHSEC,ENGLISH,Good,Vg,OTHERS,OTHERS,TWO
male,General,WA,SEBA,AHSEC,OTHERS,Vg,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,TWO
male,General,WA,CBSE,CBSE,ENGLISH,Good,Good,SCHOOL_TEACHER,HOUSE_WIFE,THREE
male,SC,WA,SEBA,AHSEC,ASSAMESE,Excellent,Vg,SCHOOL_TEACHER,HOUSE_WIFE,TWO
male,General,WA,SEBA,AHSEC,OTHERS,Good,Vg,SCHOOL_TEACHER,OTHERS,TWO
male,General,NO,SEBA,AHSEC,OTHERS,Excellent,Excellent,SCHOOL_TEACHER,HOUSE_WIFE,ONE
female,General,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,ONE
male,General,OA,CBSE,CBSE,ENGLISH,Excellent,Excellent,CULTIVATOR,HOUSE_WIFE,TWO
male,General,OA,CBSE,CBSE,ENGLISH,Excellent,Excellent,DOCTOR,SCHOOL_TEACHER,ONE
male,General,WA,SEBA,AHSEC,OTHERS,Vg,Excellent,OTHERS,SCHOOL_TEACHER,TWO
male,General,WA,CBSE,AHSEC,ENGLISH,Excellent,Excellent,SCHOOL_TEACHER,SCHOOL_TEACHER,TWO
female,OBC,NO,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,OTHERS,ONE
female,OBC,WA,SEBA,AHSEC,ASSAMESE,Excellent,Excellent,DOCTOR,HOUSE_WIFE,TWO
male,General,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,OTHERS,ONE
male,SC,WA,SEBA,AHSEC,OTHERS,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE
male,General,WA,SEBA,AHSEC,OTHERS,Vg,Vg,OTHERS,HOUSE_WIFE,TWO
male,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE
male,OBC,WA,SEBA,AHSEC,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE
female,General,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,TWO
male,OBC,NO,SEBA,AHSEC,OTHERS,Average,Good,OTHERS,HOUSE_WIFE,TWO
male,General,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE
female,OBC,WA,SEBA,AHSEC,ENGLISH,Vg,Vg,DOCTOR,HOUSE_WIFE,TWO
male,General,NO,CBSE,CBSE,ENGLISH,Excellent,Excellent,OTHERS,HOUSE_WIFE,ONE
male,OBC,WA,SEBA,AHSEC,ASSAMESE,Good,Average,OTHERS,HOUSE_WIFE,THREE
male,OBC,WA,CBSE,CBSE,ENGLISH,Excellent,Vg,OTHERS,SCHOOL_TEACHER,THREE
male,OBC,WA,CBSE,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,TWO
male,OBC,NO,CBSE,AHSEC,ASSAMESE,Vg,Good,SCHOOL_TEACHER,HOUSE_WIFE,THREE
female,OBC,WA,SEBA,CBSE,ENGLISH,Excellent,Vg,OTHERS,OTHERS,TWO
male,OBC,NO,SEBA,CBSE,ENGLISH,Excellent,Excellent,BUSINESS,HOUSE_WIFE,ONE
